,PFT1_AI_run1,PFT10_AI_run1,PFT11_AI_run1,PFT12_AI_run1,PFT2_AI_run1,PFT4_AI_run1,PFT5_AI_run1,PFT6_AI_run1,PFT7_AI_run1,PFT8_AI_run1,PFT9_AI_run1
CDC14B,234.411375081714,287.043449889252,273.66770325272,288.637942282767,213.307065527217,294.156317783792,240.607034724659,275.685796715353,180.628440162635,280.935772719493,213.274552890183
HABP4,314.559382003035,603.419807066456,478.658340289929,439.829245383264,502.599051392457,428.180202217827,681.199137272412,701.745664366352,520.470608509861,529.947025811772,360.044137674825
ZNF367,132.7182050095,137.23610195435,112.380653807201,104.670902146498,211.476103591362,128.802174650891,133.323378548729,89.2219487551505,132.212569603578,96.837709535886,139.889760497862
SLC35D2,241.30582729,162.378593915453,193.544459334623,193.482576695042,203.23677488001,196.684401831766,216.650490141684,217.541155953569,155.489430449279,184.098063183607,202.954816460013
LOC113982307,21.5451631508928,31.4281149513779,21.8517937958446,22.2029186371359,22.8870241981993,23.497694024149,35.4140224270061,25.0623451559411,8.37966990445215,13.8339585051266,18.3461980980803
PEX5,345.584416940321,424.279551843602,344.425892686884,358.418543713766,345.136324908845,415.996212723824,347.89069090059,290.723203808917,313.772084200042,436.301768238607,302.712268618324
LOC113982316,29.3014218852142,23.0472842976771,11.4461777025853,14.8019457580906,19.2251003264874,19.1462692048622,22.9149556880628,9.02244425613881,9.31074433828017,13.8339585051266,13.7596485735602
CLSTN3,21761.4765889278,16714.5191349745,21277.4037874967,20331.5297805773,17921.455428158,18847.7614622591,21212.9994337767,19270.9384373063,19262.9989614678,18965.2929598743,14177.0245802915
RBP5,103.416783124286,99.5223640126967,127.98907794709,101.499056626907,72.3229964663098,83.5473565303077,60.4121559048928,81.2019983052493,135.005792905062,98.966010844367,67.6516054866709
C1R,79.2862003952856,26.1900957928149,54.1092036849485,25.3747641567268,29.2953909736951,35.6816835181522,47.9130891659495,44.1097274744564,87.5209967798336,51.0792314035443,47.0121326263307
C1S,376.609451877606,240.948881293897,364.196563264076,372.163207631993,236.194089725417,350.724840434521,354.140224270061,238.59352588456,346.359689384022,396.928194031708,298.125719093804
LPCAT3,323.177447263392,303.805111196653,250.77534784755,253.747641567268,276.475252314248,243.679789880064,235.399090250099,246.613476334461,364.981178060583,275.615019448291,238.500575275043
EMG1,86.1806526035713,87.9987218638582,75.9609974807931,99.3844929471799,85.1397300173014,79.1959317110208,87.4934671726033,86.2144673364375,134.074718471234,70.2339431798734,67.6516054866709
PHB2,1347.86540671985,1361.88498122638,1346.48672246776,1340.63337294707,1373.22145189196,1493.40899797925,1293.65340748064,1384.44394641419,1763.45497767026,1405.74301425171,1162.69030446584
PTPN6,164.605046472821,158.188178588602,240.36973175429,229.430159250405,151.054359708115,234.106655277633,165.612634290999,251.625945365649,200.181003273024,168.13580337,120.396925018652
CUNH12orf57,773.90226038007,745.893928179369,694.054593420397,584.67685744458,779.989784674632,886.820378170662,741.611293177305,833.072352983483,829.587320540763,826.845058344873,928.776278715313
ATN1,2658.67313282017,2830.62555328744,3000.97968129599,3499.60288994857,2522.15006664156,3122.58245032025,2936.23909475677,2661.62105556095,2190.81814279732,3157.33499113158,2802.38175948176
ENO2,17743.7345645493,17751.64692837,17007.9795044324,18210.6224098109,18562.2921057076,20670.1381765764,17526.8163346833,17447.40220376,18243.4724564262,19422.8777411977,16359.0755165819
LRRC23,17.2361305207143,11.5236421488386,15.608424139889,12.6873820783634,10.9857716151357,6.0919947470016,12.4990667389433,27.0673327684164,11.1728932059362,20.2188624305696,18.3461980980803
TPI1,7879.49706754452,7435.89199749602,7521.17931220784,7832.34386970967,7368.70631085225,8591.45316319997,7296.33020885817,7515.69606536363,9620.7921247449,8482.34486495107,6994.4880248931
USP5,3469.63307381978,2825.38753412887,3365.17624456006,3355.81255972712,3127.28298644195,3191.33496246498,3374.7480195147,3203.97020473552,3111.65075785323,3246.72364608778,2944.56479474188
P3H3,113.758461436714,106.855590834685,116.542900244504,157.534994139679,125.420892606132,125.321034795462,124.990667389433,99.2468868175269,111.728932059362,104.28676411557,112.370463350742
GPR162,2543.19105833139,2544.6297072299,2474.45550697707,2586.1113803064,2461.72832275832,2799.70672872916,2384.19698045344,2654.60359891729,2688.94296489531,2311.33522101038,2118.98588032827
LAG3,49.9847785100713,17.8092651391142,32.2574098891039,10.5728183986362,20.1405812944154,19.1462692048622,21.8733667931508,21.0523699309906,49.3469449928849,25.5396157017721,11.4663738113002
PTMS,2619.03003262253,2593.86708732039,2688.81119849821,2962.50371529785,2406.79946468264,3112.13903075396,2488.35586994464,2548.3392554561,3048.33769635293,2402.85217727506,2773.71582495351
MLF2,3573.9116634701,3298.90446606297,3317.31041053107,3790.35539591106,3572.20673685495,3404.55477861004,3446.61765326362,3646.06997328632,4270.83842796911,3420.18020272898,3241.54387645456
LOC113982334,21.5451631508928,52.3801915856299,21.8517937958446,76.1242924701804,8.23932871135175,39.1628233735817,21.8733667931508,16.0399008998023,71.6927314047573,11.7056571966456,5.73318690565008
